uid,tid,pid,twc,tbc,ready_to_battle
21,256,6,1206,12479,True
21,358,4,6876,12252,False
21,308,4,4237,10096,False
21,582,3,4954,10937,False
22,476,4,1972,6337,False
22,66,0,12,2347,True
22,458,4,12376,13375,False
23,191,1,1775,4625,False
23,252,3,2612,3712,False
24,309,3,1099,7229,True
24,629,0,1819,6202,False
24,128,2,8949,12881,True
24,267,2,762,1287,False
24,547,6,1602,6550,False
24,67,0,31,8063,True
24,203,4,3748,10072,False
24,415,1,258,3532,False
25,117,2,8489,12848,False
25,373,4,277,771,True
25,128,5,2076,9794,True
25,370,4,3744,8946,False
25,571,2,168,1918,True
25,347,1,5,132,False
26,353,1,4888,12230,True
26,118,4,1850,5095,True
26,636,2,4716,7659,True
27,125,4,6569,12939,True
28,445,2,302,526,False
28,301,5,4179,11660,True
28,307,3,5045,11404,True
28,621,3,1097,4731,True
28,628,1,4325,7085,True
28,643,2,1674,2353,True
28,297,2,8385,10514,True
28,585,3,10104,10417,False
28,97,0,2457,5915,True
29,348,6,182,270,True
29,350,0,2815,4699,True
29,67,3,3208,4457,True
29,251,3,3258,4394,False
29,104,4,103,412,False
29,5,5,2258,8861,True
29,163,6,10873,14776,True
29,496,6,9288,11539,True
29,479,3,5773,14520,True
30,206,5,2878,11872,True
30,539,5,9989,13595,False
30,80,0,4600,6463,False
30,441,0,13269,13854,True
30,505,4,1558,2304,False
31,396,6,591,902,False
31,92,1,11337,14440,True
31,544,6,10666,14794,False
31,323,0,2759,3312,True
32,113,0,4377,10072,False
32,572,5,3758,7603,False
33,321,5,5290,8765,False
33,541,1,12812,13063,True
33,240,4,3096,10155,False
33,587,6,2580,8598,False
33,603,5,1459,7222,False
33,252,6,843,6064,True
33,631,0,4008,6476,True
33,190,6,1791,3936,True
34,448,1,12215,13114,False
34,554,3,6997,11982,False
34,634,4,6049,10686,False
34,143,6,10614,13951,False
34,572,6,1419,4482,True
34,19,6,1514,3413,False
35,143,1,9581,14590,False
35,626,2,2391,10795,False
35,295,5,2768,12968,False
35,529,4,9762,13432,True
36,299,0,2657,9928,True
36,238,3,1379,8332,False
36,339,5,11821,12425,False
37,236,6,2372,5874,False
37,73,2,4276,6406,True
37,258,6,344,5013,False
37,541,2,1264,5969,False
37,389,6,4937,8546,False
37,336,0,5057,14891,False
37,599,4,9404,11603,False
38,326,6,1018,1912,False
39,530,3,876,4985,True
40,360,1,517,10490,False
41,347,4,1156,5781,True
41,587,3,475,895,True
41,389,2,11668,14070,False
41,626,0,157,12075,False
42,242,1,433,2820,False
42,386,3,219,8127,False
42,312,5,6938,7440,False
42,500,3,3676,7841,True
42,558,5,4564,8718,False
42,194,1,429,8720,False
42,186,2,8053,13790,True
43,552,3,8455,13363,False
43,486,1,8164,12985,True
43,394,4,2433,2441,True
43,104,2,2128,3240,False
43,223,0,2177,3619,True
44,131,0,3292,7672,False
44,207,1,9366,10279,True
44,219,2,2192,3680,True
44,55,2,3051,3669,False
44,182,6,9558,9757,False
45,235,2,46,324,True
45,100,2,510,1292,False
45,511,6,7615,9988,True
45,581,2,4031,12692,False
46,372,6,1574,3774,False
46,337,2,3980,4215,False
46,608,5,1558,7252,False
47,331,2,8164,11073,True
48,80,0,2034,4239,True
48,334,3,2888,5469,True
48,32,6,2151,7975,False
48,224,6,1518,2692,False
48,483,2,4558,11906,True
48,544,0,3742,12835,True
48,285,5,865,1097,False
49,344,5,120,2660,False
49,586,6,284,9953,True
49,424,0,4309,12271,True
49,34,5,18,8988,True
49,425,0,9543,13743,True
49,9,1,2801,13866,True
49,117,6,1384,14481,True
49,445,6,2979,14032,True
50,358,6,38,324,False
50,77,6,488,8764,False
50,306,3,2175,5087,False
50,28,2,5988,6911,True
50,503,3,905,6450,False
50,406,2,201,11454,True
51,266,6,9568,11858,True
51,405,3,6669,10756,True
51,594,1,4614,13611,False
52,437,4,3082,5828,False
52,227,6,1453,4956,True
52,458,5,471,5686,True
53,501,0,1337,1547,False
53,57,0,7405,8874,False
53,241,3,1131,13301,True
53,353,5,2268,4789,True
53,385,6,8075,12091,False
53,267,4,9536,10841,True
53,570,6,10303,11530,False
53,626,3,1122,7932,True
53,54,4,3329,4703,True
54,245,3,10970,11479,False
54,300,3,3474,6623,False
55,89,0,668,1867,False
55,227,4,8862,14097,False
56,183,3,644,6278,True
56,245,4,59,3673,True
56,415,1,1814,8774,False
57,593,2,1185,2355,True
57,404,2,6366,6999,False
57,443,4,515,958,True
57,535,6,4697,5919,False
57,109,3,4201,4397,False
57,568,3,10565,14553,True
57,66,2,1248,3225,True
57,529,5,2573,4858,True
58,551,5,2940,12537,False
59,227,1,7875,9184,True
59,500,0,3200,8003,True
59,439,1,3924,10508,True
59,48,2,635,3841,True
59,472,3,7792,12103,True
59,352,2,3076,6452,False
60,124,1,277,3942,False
61,540,2,4810,14398,False
61,476,4,2271,3261,False
61,26,3,2533,13003,True
61,187,2,331,5850,False
62,266,0,1875,2022,False
62,36,0,1560,4474,False
62,84,4,3867,7532,False
63,82,0,4533,12718,False
63,616,1,1424,1821,False
63,87,2,4042,4815,False
64,119,3,1222,14350,True
64,82,3,1421,2277,True
65,87,6,7109,14632,True
65,568,0,3084,13351,True
65,196,6,13649,14946,True
65,544,3,2512,3744,False
65,509,6,9270,10554,False
65,572,0,832,6077,True
65,257,5,1055,4513,False
65,274,2,1938,3859,True
65,47,3,1253,4131,True
66,426,1,282,1136,False
66,495,5,780,1754,True
66,44,6,2906,10384,True
66,297,5,5632,7350,False
66,560,4,749,8169,False
66,218,1,69,430,False
67,256,5,7259,9824,True
67,458,6,2668,8223,True
67,17,3,4983,5535,True
67,193,1,897,6119,False
67,450,0,531,1052,False
67,568,4,1805,5151,True
67,434,4,2105,11045,False
68,428,1,3703,5910,False
68,611,0,1144,8775,True
68,306,0,1218,9542,False
68,25,4,2295,5132,False
68,117,0,7344,11753,True
69,470,1,3742,5803,False
69,280,4,3666,3782,False
69,514,3,7763,8842,False
69,73,2,3031,8539,False
69,397,1,5964,14940,False
69,370,2,256,350,False
69,582,3,2405,5348,True
70,481,1,2297,12512,False
70,255,3,783,9891,False
71,324,5,195,3025,False
71,1,0,529,583,True
71,630,1,3934,10066,True
71,643,2,357,1094,False
71,513,2,768,2914,False
71,96,0,400,2197,True
71,99,3,2007,12875,True
71,520,4,11160,14295,False
71,478,2,2949,6670,True
72,24,5,296,11699,False
73,167,2,109,7643,False
73,81,2,1209,2656,True
73,20,2,472,734,True
73,235,2,2489,5253,False
73,427,1,4326,9994,True
73,574,0,860,9533,False
73,417,3,5849,13969,False
74,120,1,6627,8960,True
74,206,0,249,5948,False
74,233,6,2374,13643,True
74,545,4,98,443,False
74,148,5,424,9727,True
75,303,6,340,4551,False
75,406,2,9515,14207,False
75,491,6,3669,9652,True
75,463,6,7132,7291,False
75,168,4,12543,13099,False
75,556,0,6821,10668,False
75,478,1,85,322,False
75,249,2,1811,5567,True
76,471,0,2937,6968,True
77,593,5,3818,9828,True
77,348,6,1353,13794,False
77,399,2,9153,9837,True
77,166,2,1606,2052,True
77,40,0,7449,11906,True
77,306,5,1652,5734,True
78,448,2,1970,2624,True
78,338,2,4840,12138,False
78,544,0,232,1324,True
78,221,0,5129,12158,False
78,649,5,9457,10379,True
78,578,6,3868,6908,True
78,136,3,5397,6134,False
78,76,5,4002,8898,True
79,162,6,150,6303,False
79,108,3,6007,9679,False
79,115,0,78,766,True
79,487,1,1829,3963,False
80,205,2,6112,12762,True
80,181,4,7227,9952,True
80,474,3,3777,6790,False
80,52,5,2426,3370,False
80,356,6,5248,7370,True
81,610,6,707,10388,True
81,257,6,1105,12428,True
82,462,3,1244,2301,True
82,400,5,2697,2943,True
82,419,4,172,3831,False
82,85,5,3654,11521,False
83,549,0,12,1329,True
84,263,4,917,1479,False
84,35,3,4163,8730,True
84,624,6,4381,8566,True
84,178,1,4694,6865,True
84,208,1,848,958,False
84,251,5,11708,12628,True
84,350,3,4318,5265,False
84,505,6,8066,13168,True
84,516,6,10531,12419,True
85,526,5,184,10637,False
85,383,2,36,149,False
86,318,0,5301,12757,False
86,637,0,3924,4585,True
86,419,5,639,692,False
86,77,1,4942,12672,False
86,449,0,6503,8598,False
86,442,4,6759,7260,False
86,341,2,2728,3816,False
87,373,5,3615,3912,True
87,581,2,7778,7976,True
88,213,2,1418,1479,False
88,597,6,4373,8485,True
88,118,4,651,6990,False
88,328,0,4301,5334,True
88,77,6,2113,11177,True
88,210,3,10104,13637,True
88,363,4,3296,11718,True
88,344,5,3550,9665,True
88,465,0,13135,14325,False
89,489,0,10458,12576,True
89,164,0,5933,11882,True
89,504,6,434,4555,False
90,103,5,13356,13879,True
90,320,1,10126,12184,True
90,342,1,1321,3932,False
90,15,3,5691,11404,False
90,415,0,1401,4914,False
90,559,4,8992,13578,False
91,349,2,5643,14817,False
91,573,3,7494,8825,False
91,241,0,3180,12776,True
91,121,5,289,2713,True
92,479,4,8462,8923,True
93,224,0,13002,13315,False
93,589,0,10843,13011,True
93,474,1,331,1024,False
93,467,0,1807,10881,False
93,177,2,3017,4137,True
93,326,6,2671,4781,False
93,462,3,7170,10331,False
93,264,3,231,2150,True
93,455,4,8086,11961,True
94,442,4,1452,1564,False
94,88,2,1596,11172,True
94,598,2,6058,7490,False
94,316,6,4276,5790,True
94,133,4,3799,12292,False
94,275,3,3966,5298,False
94,61,6,6092,9094,True
95,319,6,343,2859,True
95,449,1,577,1423,True
96,206,4,6666,12527,True
96,626,3,7391,12530,False
96,547,0,1232,3374,True
96,582,3,48,704,False
96,173,4,1956,3612,False
96,351,0,8470,13379,False
97,11,3,3921,11329,True
97,595,1,2667,3468,False
97,6,5,9132,9892,False
97,178,6,3611,12902,False
97,86,4,8248,9136,False
97,52,5,5900,6589,False
97,335,3,2072,2908,True
97,289,5,1317,9861,True
97,84,3,4838,5567,False
98,273,0,1003,1134,False
99,110,4,10876,11666,False
99,28,3,1334,2148,False
99,4,0,4250,12082,True
99,95,1,5604,10249,True
99,12,4,480,4537,True
99,619,4,82,161,False
99,612,3,8181,10362,True
99,398,4,5088,7635,True
99,366,6,5546,10146,True
100,507,4,332,1216,False
100,434,4,547,2151,False
100,100,0,6533,7496,True
100,541,6,7499,7499,True
100,417,1,596,3206,False
100,38,6,2375,10466,True
101,288,2,186,2590,False
101,505,3,9054,12422,False
101,108,4,9614,11874,False
101,60,3,8816,10042,True
102,58,5,1707,3475,False
102,474,2,1736,2313,True
102,374,4,6442,12622,False
102,510,4,3134,13864,True
103,147,5,2191,14599,False
103,496,1,4306,5472,True
103,553,2,9334,9537,True
103,354,5,2705,2937,True
103,426,1,2061,2139,True
103,419,4,5763,10721,False
103,320,3,3734,4628,False
103,331,2,154,521,True
104,252,4,1769,9240,True
104,50,3,7659,11364,False
104,345,4,2388,3783,False
104,499,3,692,2685,True
104,359,1,1828,13876,False
104,143,2,642,709,False
104,527,4,3727,6711,True
105,255,0,711,1667,False
105,249,3,233,266,True
105,267,2,8695,13446,False
105,38,4,967,9289,True
106,315,1,8093,10001,True
107,568,0,813,4617,False
107,497,5,4903,12065,False
107,515,6,5605,7026,False
107,497,2,2064,4192,True
107,477,1,1868,8918,False
107,192,2,6400,6909,True
108,106,1,2940,7077,True
108,394,2,1779,2495,True
108,574,0,620,8134,True
108,538,5,4796,9369,True
109,434,1,3153,8634,False
109,601,5,5791,7143,True
109,8,1,4761,13296,False
109,611,2,2560,3482,True
109,309,1,4429,9498,True
109,289,5,6042,12206,False
109,185,5,11027,14893,True
110,450,6,2529,12829,False
110,641,1,7959,8769,False
110,250,5,3126,4822,False
110,114,5,1652,11085,True
110,495,3,1086,1937,True
110,232,0,789,912,True
111,218,4,1886,5636,True
111,392,3,6729,7958,True
111,194,3,10407,10984,False
111,418,2,3393,12061,False
111,194,3,7624,7949,False
111,154,5,1599,9940,True
111,368,3,2301,13877,False
112,371,6,1611,2233,True
112,393,0,4766,8241,True
113,333,6,7168,13380,True
113,607,0,10055,13284,False
113,352,1,10660,12543,False
113,476,4,5207,7512,False
113,483,6,1617,2392,True
113,589,0,1479,6617,True
113,54,4,8,20,False
113,358,2,5525,12842,True
114,550,3,570,745,True
114,330,1,436,2647,True
114,283,4,171,301,True
114,155,6,2543,3262,False
114,217,0,9,132,True
114,491,6,2648,9562,True
114,295,3,2827,5532,True
114,204,0,3096,12657,False
114,287,6,3361,9924,True
115,259,1,4279,5950,True
115,481,0,3112,10549,True
115,89,3,62,172,True
115,517,2,2394,2813,True
116,307,3,3051,12852,True
117,593,2,10274,12941,True
117,26,6,3432,4142,False
117,103,5,148,1935,True
117,108,1,9221,14565,True
117,448,6,1258,8206,False
118,405,4,6712,12319,False
118,311,0,6859,8803,True
118,458,4,9226,9570,True
118,143,5,134,1744,False
118,130,3,300,561,False
118,355,1,1965,10914,False
118,641,5,158,923,False
119,204,4,952,1242,False
119,284,1,4975,9534,False
119,455,1,259,10614,True
120,189,4,7042,9306,False
120,626,0,2935,7695,True
120,53,4,5573,14335,False
120,301,0,1499,7271,True
120,310,3,785,8579,False
120,334,4,494,9691,False
120,73,1,9378,13057,False
121,204,0,5110,8544,False
121,74,2,3015,6063,False
121,271,1,9091,11691,False
121,290,1,1323,2200,True
121,373,5,3548,10656,True
122,71,6,3053,4021,False
122,94,6,554,1745,False
122,524,5,4946,5660,True
122,251,0,1980,4650,False
122,589,1,5373,10801,False
122,323,1,3607,4132,False
122,480,5,1212,2004,True
122,62,6,3439,4116,True
122,280,3,4436,8801,False
123,28,5,1204,10868,True
123,553,4,2932,10652,True
123,225,5,5208,5518,False
123,524,2,2198,4904,False
124,69,0,2151,2711,True
124,167,0,1580,5597,True
124,396,1,1049,14498,False
124,58,5,324,1387,True
124,608,6,931,6162,False
124,480,3,4372,12849,True
124,15,0,14490,14804,True
124,215,5,460,3291,False
124,95,1,10831,11781,True
125,359,5,792,1290,False
125,221,6,1035,1796,True
125,544,2,7583,14546,True
125,135,2,1462,1736,True
125,320,4,4325,11523,False
126,535,2,8142,8391,True
127,386,2,4195,6336,False
127,455,4,101,1089,False
127,139,5,638,8626,True
127,541,3,3506,5170,False
128,86,2,1178,10826,True
128,330,0,925,3103,False
128,488,1,2505,6268,True
128,265,0,5989,7545,True
128,135,3,2833,6234,False
128,169,4,517,6952,False
129,95,0,2810,4869,True
129,9,0,2080,11065,False
129,24,0,1796,1995,True
130,46,5,2950,13790,True
130,296,1,774,6053,True
130,633,2,1050,9678,True
130,541,6,229,3963,False
130,435,1,603,935,True
130,293,6,1924,2096,True
130,465,3,4293,11774,False
130,516,3,2280,4067,False
130,3,3,10009,10204,False
131,274,1,1754,11155,True
131,165,3,1559,11011,False
131,460,4,2133,6426,True
131,558,3,3907,5226,True
132,302,1,4136,12572,False
132,105,5,420,910,True
132,258,6,7248,7436,False
132,313,6,980,1893,False
132,598,6,207,218,True
132,370,2,967,4153,True
133,524,2,7651,8973,True
133,596,5,518,9458,False
133,564,3,372,5541,True
133,481,2,8198,12084,False
133,80,5,2781,5365,False
133,312,5,1463,5567,False
133,302,4,493,501,False
134,470,5,7494,8745,False
134,224,3,9040,14774,False
134,528,4,4040,10070,False
134,562,2,79,486,True
134,469,1,4213,6132,True
134,4,4,1091,4049,False
134,165,3,3279,9395,True
134,506,6,376,663,True
135,578,4,9045,14790,True
135,473,4,792,14634,False
135,368,2,13185,13744,False
135,175,5,75,77,True
135,630,0,393,657,False
135,106,2,935,2076,True
135,616,0,8108,10213,True
135,610,3,9673,13255,True
136,117,0,1462,11134,False
136,98,1,5949,13707,False
136,378,1,4447,9117,False
137,2,4,1732,10877,False
137,346,1,290,723,True
138,465,6,374,3863,False
139,530,3,503,4521,False
139,575,5,3851,5267,True
140,271,6,3892,6506,False
140,20,3,881,2730,False
140,104,1,415,5590,False
140,157,1,9185,11351,False
140,425,3,1672,9621,False
140,21,0,809,953,True
141,16,5,2247,8604,True
142,49,0,468,10678,True
142,48,1,7636,11929,False
142,306,4,2478,4662,True
142,73,4,4434,13733,True
142,531,0,152,2561,True
142,81,5,5482,6806,False
142,515,3,7484,13436,True
143,291,0,2397,7308,False
143,193,1,3562,4532,False
143,148,5,1397,11562,True
143,483,3,419,771,False
143,636,3,4766,9625,False
143,506,3,6418,7394,True
144,349,3,457,1541,True
144,435,3,1616,1681,True
144,39,4,118,425,True
144,245,4,7007,14958,False
144,361,1,136,7849,False
144,599,4,165,672,False
144,452,2,451,2675,False
145,593,1,9557,10255,True
145,331,5,9445,12467,False
145,245,1,2171,9937,True
145,481,5,2308,5701,False
146,559,5,2135,5055,True
146,99,4,309,2046,False
146,243,6,7317,10516,False
146,140,1,6681,10929,True
146,530,5,3104,4547,False
146,489,2,5314,12813,True
146,314,3,5554,8244,True
147,616,1,1210,1575,False
148,61,6,5907,10290,True
149,633,6,11219,14957,False
149,301,6,63,2561,False
149,388,4,2830,6754,True
149,164,6,6206,7434,False
149,447,2,1962,2532,True
149,480,4,244,10213,True
149,299,6,5097,6535,False
149,265,6,114,1001,True
149,266,3,8648,12825,False
150,115,2,605,3702,True
150,543,2,507,1102,False
150,285,6,2215,11053,True
150,540,6,4724,13319,False
150,126,3,1752,2637,True
151,326,2,1195,11862,True
152,35,3,4700,6406,True
152,379,4,14613,14674,True
152,189,0,944,1763,True
152,439,0,632,4210,True
152,468,6,3788,9028,True
152,473,1,228,5626,False
152,315,6,10024,13668,True
152,189,2,7025,7766,False
152,149,4,3628,5320,True
153,385,3,375,14293,True
153,287,6,1387,5783,False
153,381,2,4669,6515,True
153,643,1,4709,8723,False
153,100,3,2581,5248,True
153,506,4,10074,14558,False
153,293,6,4549,10907,True
153,295,0,543,6821,True
154,16,6,3241,11541,False
154,4,3,1595,2823,True
154,303,2,50,11416,False
154,561,4,594,890,True
154,441,0,4097,5199,False
155,487,3,2642,6050,False
155,527,5,218,941,True
155,493,6,712,7933,False
155,488,5,972,2373,False
155,313,3,1730,6806,True
155,351,2,1709,4676,True
155,297,6,2263,13513,True
155,190,0,353,3046,True
156,451,0,776,4156,True
156,42,5,3363,10662,False
156,59,6,167,1533,True
156,441,4,2349,13296,False
156,616,3,440,838,True
157,627,4,7736,11144,False
157,611,3,4221,13687,False
157,4,3,1129,4066,False
157,272,2,2034,3281,True
157,499,3,8939,9428,False
158,25,3,1507,2046,True
158,339,0,460,3783,True
158,565,0,5586,14515,True
158,462,6,2847,4102,True
158,159,3,9889,10266,True
158,298,6,5393,9443,False
159,105,3,3585,4343,False
159,189,5,4467,9902,False
159,512,4,149,725,True
159,460,3,12974,13181,True
159,59,3,2582,2896,False
159,173,3,5390,7098,True
159,271,4,2530,12053,True
160,145,6,6039,10874,False
160,542,5,170,11230,False
160,303,4,1217,6188,True
160,500,6,8556,10938,False
160,408,4,438,5856,True
160,110,0,9301,14427,True
160,574,0,7876,11283,False
160,35,2,2482,6648,True
160,174,4,3087,4589,True
161,377,2,11175,13222,True
161,398,5,2471,3376,False
161,309,6,477,1642,False
161,9,5,5905,8390,True
161,149,0,4211,12831,False
161,64,5,5838,13038,False
161,435,4,7990,9769,False
162,353,1,4843,5025,True
162,551,4,992,1561,False
162,290,1,460,12777,True
162,146,2,741,6157,True
162,404,3,22,228,False
162,394,1,3349,5655,False
162,360,6,277,1835,True
162,169,0,837,955,True
163,609,0,338,7738,False
163,126,3,1164,6182,True
163,426,6,1782,5061,False
163,518,0,10004,10724,True
163,192,6,5417,8056,False
163,529,3,2644,5360,False
163,305,6,4571,6217,True
164,529,4,273,600,False
164,345,1,4394,5825,True
164,495,2,4274,8324,False
164,26,1,8736,8898,True
164,76,4,2416,13954,False
165,334,3,4823,9241,False
165,63,2,5499,9674,False
165,34,5,7197,8313,False
165,531,3,9239,11449,True
165,290,3,158,457,True
166,3,5,2893,14089,True
167,46,0,8397,12856,True
167,634,5,263,1316,True
167,642,3,1,4557,True
167,161,4,25,2054,False
167,516,2,1416,2946,False
167,344,1,2279,9828,False
167,165,5,2508,5425,True
167,462,2,912,3244,False
168,279,5,10788,14563,True
169,243,5,7289,11434,True
170,43,6,46,295,False
171,205,6,1611,3628,True
171,206,3,8299,14311,True
171,210,6,12466,13813,False
171,300,0,1169,5015,True
172,383,5,1314,14697,True
172,456,0,3411,11170,True
172,459,2,7,8726,True
172,81,1,1432,9835,False
172,30,3,5515,13419,True
172,579,4,2994,12712,False
172,150,0,1793,2911,True
173,532,6,3944,8147,False
173,584,2,206,1920,True
174,3,6,13162,14111,True
174,405,2,4913,10777,True
174,564,2,9,29,True
174,331,6,308,1023,False
174,383,0,1060,2692,True
174,335,3,2240,11299,False
174,197,3,50,10002,False
174,492,6,3059,10860,False
175,471,2,589,11779,False
175,178,2,308,9798,False
175,127,0,120,373,False
175,135,6,3168,14242,True
175,161,4,8306,10422,False
176,466,1,3011,9102,True
177,180,5,137,3790,False
178,155,1,687,12887,True
178,544,6,58,294,False
179,600,5,4645,9993,True
179,94,4,10273,13537,True
179,243,1,2382,6631,True
179,172,3,33,195,True
179,540,6,7616,10420,False
180,420,1,224,1361,False
181,517,5,8915,11353,False
181,153,1,1342,1589,True
182,435,2,3696,4382,True
182,481,5,14688,14980,False
182,352,1,5206,8837,True
182,138,1,8726,13215,False
182,443,4,2792,10570,True
182,347,1,11171,12193,True
182,607,1,6643,12730,False
182,267,0,13,48,False
183,54,6,1993,3016,False
183,127,6,3129,12222,True
183,443,5,5995,9192,True
183,514,2,551,10112,False
183,523,3,7152,14538,True
183,393,1,3023,5354,True
184,432,2,1509,11310,True
185,504,1,10455,10979,True
185,530,0,860,2565,True
185,468,6,180,2269,False
185,313,4,2236,7089,False
185,583,2,754,960,True
185,480,6,1006,5475,False
185,605,3,2530,3243,False
185,444,0,5578,7051,False
186,168,0,2537,5820,False
186,238,5,550,4027,False
186,89,2,441,683,True
186,507,5,13936,14286,True
186,217,6,11939,14479,True
187,308,1,3731,8443,True
187,123,2,721,1436,True
187,420,3,1624,2595,True
188,338,0,13444,13884,True
188,199,3,3146,7487,True
188,401,2,3203,6238,True
188,82,4,1818,1832,True
189,339,1,111,931,False
189,396,2,787,14167,True
189,462,3,2780,7911,False
190,24,0,4388,4404,False
190,377,4,2785,8645,False
190,584,4,226,13856,True
190,163,3,2338,2889,True
190,224,6,3134,13496,False
190,137,5,491,577,True
190,272,2,13,3249,True
190,489,0,735,869,True
191,78,2,4765,14304,False
191,394,3,4293,6505,True
191,45,3,8591,10408,True
191,422,6,3526,4455,True
191,219,3,184,4459,True
191,491,6,3132,10807,True
191,134,4,3543,13150,True
191,522,1,10277,11680,False
192,114,3,2743,4069,False
192,515,4,3233,4929,False
192,4,3,5418,11657,True
193,467,6,2635,9226,True
193,146,3,2573,3631,False
193,347,0,6042,7488,False
194,355,1,2749,8339,False
194,27,4,10,21,True
194,255,2,3024,13025,False
194,479,1,3259,14213,False
194,586,4,2072,14463,True
194,267,5,781,2663,False
194,258,3,5254,11641,True
194,91,0,130,1665,False
194,577,2,6073,6746,True
195,499,5,16,285,True
195,276,5,4544,12827,True
195,146,5,4467,4665,True
195,604,2,509,530,False
195,160,0,5456,10231,True
196,58,4,3164,7750,False
196,54,4,5105,8196,False
196,446,6,3911,14824,False
196,327,5,5533,12705,False
196,578,0,1056,1538,False
196,314,1,1237,2786,True
196,184,3,161,432,False
196,524,3,1607,6118,False
196,411,2,2128,4382,False
197,350,6,743,947,True
197,456,2,2140,12770,False
198,176,3,953,1559,True
199,76,3,502,8718,False
199,217,6,4991,12403,True
199,503,5,2328,7555,False
199,543,5,4225,13703,True
199,381,3,14388,14850,True
199,552,5,2310,10649,True
199,502,2,7320,13116,True
200,250,1,791,2102,True
200,418,6,690,3119,False
200,517,4,1061,8249,True
200,369,6,1380,2731,True
201,536,5,10913,12722,False
201,637,6,40,570,True
201,109,3,7771,8476,False
201,419,6,1757,3609,False
202,345,6,3496,8412,True
202,33,2,671,777,True
202,65,4,9620,12472,True
202,264,6,1740,11630,False
202,161,0,721,3795,False
202,396,4,281,299,False
202,593,3,10651,10743,False
203,337,5,3180,8616,False
203,45,2,11325,13225,False
203,180,1,5698,14942,False
203,277,5,2179,5939,True
204,303,0,2235,4011,True
204,5,1,1115,2750,True
204,498,5,1987,6613,False
204,179,3,3354,4949,True
204,230,2,5355,11720,True
204,97,2,9970,10092,False
204,456,2,4186,11740,True
204,263,1,6944,14558,True
204,203,2,3445,8360,False
205,296,4,6670,9975,False
205,332,5,6507,12337,False
205,66,6,2993,11774,True
205,43,1,5257,7962,True
205,63,3,1438,2634,True
206,346,4,4641,7561,True
206,234,6,2575,6919,True
206,100,2,8645,14538,True
207,190,1,11903,14023,True
207,101,4,3067,6356,False
207,59,2,6164,8134,True
207,59,3,6195,14602,True
207,212,6,1692,12832,False
207,257,3,1580,1844,True
207,60,6,2427,11132,False
207,458,4,3035,11159,False
207,482,5,4298,6645,False
208,603,1,11735,14245,True
209,552,3,6352,6397,False
209,368,2,8147,12541,False
209,357,5,183,5779,False
209,52,6,605,711,True
209,460,1,708,10400,False
209,219,3,14392,14614,False
209,94,0,217,3664,True
209,475,2,1128,7237,True
